"","collector_name_s","date_mm_dd_yyyy","time_of_collection_hh_mm_24_hour_clock","route_shift","route_name","building_name","any_birds_found_on_route_shift","building_face_direction","species","found_dead_alive","bird_brought_to","picture_url_google_photos_album","notes","x14","x15","x16"
"109","Alec Luro and Sarai Stuart",2019-09-21,10:08:00,"AM","North Quad","Digital Computer Laboratory_210","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMfsuoQK3ZQ9WpmfDXD77IzDv7sJAbMBO7aDbHr?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old so didn't collect, just took a picture to document its presence",NA,NA,NA
"110","Alec Luro and Sarai Stuart",2019-09-21,10:13:00,"AM","North Quad","Newmark Civil Engineering Building_24","Yes","East","Ovenbird_Seiurus aurocapilla","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMa76fjdYfrufBVtqgLiveOvaC4rhYZUlrtUK9W?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","M.T. Geoffrey Yeh student center addition: Bird was very old so didn't collect, just took a picture to document its presence",NA,NA,NA
"111","Alec Luro and Sarai Stuart",2019-09-21,10:22:00,"AM","North Quad","Grainger Engineering Library Information Center_324","Yes","North","American Robin_Turdus migratorius","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOb7obI29XZZpATt4mcYY8dXbSSFtR6TLmknP8e?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old so didn't collect, just took a picture to document its presence",NA,NA,NA
"112","Alec Luro and Sarai Stuart",2019-09-21,09:47:00,"AM","North Quad","Beckman Institute_228","Yes","West","Bay-breasted Warbler_Setophaga castanea","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPBtei0CskIBk9Qwk3jnoaaEwWaMnexKoj57zIy?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Entrance tower (pavillion)",NA,NA,NA
"113","Alec Luro and Sarai Stuart",2019-09-21,10:01:00,"AM","North Quad","Micro and Nanotechnology Laboratory_237","Yes","North","Bay-breasted Warbler_Setophaga castanea","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNbFdONGNgvrUMgj_2I8fh0YV4H0jBpvCmbRe-R?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"114","Alec Luro and Sarai Stuart",2019-09-21,09:50:00,"AM","North Quad","Coordinated Science Laboratory_148","Yes","West","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMtK7QYGmPJJGHDboiFlmF0XySdcUrODKvecgeE?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"115","Ilona Menel & Amy Anderson",2019-09-21,17:44:00,"PM","North Quad","Beckman Institute_228","Yes","East","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMQ9h8ET25vUlzxlDVne5o8iR0Hu6pSV68CQydb?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence; found on East side of Beckman, which technically isn't part of the official route",NA,NA,NA
"116","Gabby Jukkala",2019-09-21,07:00:00,"AM","South Quad","All buildings of route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Donglai Li & Tianlin Pan",2019-09-21,17:00:00,"PM","South Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Evalynn Trumbo",2019-09-22,07:40:00,"AM","Main Quad","Chemistry Annex_10","Yes","North","thrush sp.","Dead","Did not pickup (explain in notes)","https://photos.app.goo.gl/6qZwxmQoxb2w16sRA","very decomposed, found under leaves. took photo for documentation",NA,NA,NA
"119","Lynette S.",2019-09-22,17:00:00,"PM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Alec Luro and Sarai Stuart",2019-09-22,08:09:00,"AM","North Quad","North Campus Parking Deck_1094","Yes","North","Bay-breasted Warbler_Setophaga castanea","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNosCAsXA5QIx-Gms3Tf6dgpGX59u4IOjapXFvs?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found on top parking floor",NA,NA,NA
"121","Alec Luro and Sarai Stuart",2019-09-22,08:20:00,"AM","North Quad","Beckman Institute_228","Yes","South","Indigo Bunting_Passerina cyanea","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP8azHSAGAkznwcKDMpUnTTOcnHDRN7P9IqDpoU?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old so didn't collect, just took a picture to document its presence",NA,NA,NA
"122","Alec Luro and Sarai Stuart",2019-09-22,08:22:00,"AM","North Quad","Beckman Institute_228","Yes","West","Chestnut-sided Warbler_Setophaga pensylvanica","Alive","Bird flew away","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMuV3hXKbNPKRBn9gGUmgBTd1xQ3OcpI-A_PHXk?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Entrance tower (pavillion)",NA,NA,NA
"123","Ilona Menel & Amy Anderson",2019-09-22,17:00:00,"PM","North Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Gabby Jukkala",2019-09-22,08:01:00,"AM","Other (explain in notes)","Agricultural Engineering Sciences Building_8","Yes","West","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.app.goo.gl/M2eFndapRVGdUZmW9","Very decomposed. Found along a part of the building that is not searched by the current route because the route only covers the South and west sides South of the causeway. This bird was found at the west side entrance north of the causeway (big glass walls), so in the northwest portion of the building. Here is a pin: 40°06'07.5""N 88°13'35.3""W  https://goo.gl/maps/jkkySrRnXc63zrDk8",NA,NA,NA
"125","Gabby Jukkala",2019-09-22,07:00:00,"AM","South Quad","All buildings of route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Donglai Li & Tianlin Pan",2019-09-22,17:00:00,"PM","South Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Caterina Kim",2019-09-23,07:00:00,"AM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Xing Liu",2019-09-23,17:30:00,"PM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","seeLynette Strickland",2019-09-23,17:00:00,"PM","North Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Yu-Fu Wu",2019-09-23,09:00:00,"AM","North Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Gabby Jukkala",2019-09-23,07:00:00,"AM","South Quad","All buildings of route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Donglai Li & Tianlin Pan",2019-09-23,17:20:00,"PM","South Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Evalynn Trumbo and Lynette S.",2019-09-24,07:00:00,"AM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Loralee Wilson",2019-09-24,17:13:00,"PM","Main Quad","Center for Wounded Veterans in Higher Education_1494","Yes","East",NA,"Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,NA,NA,NA,NA
"135","Loralee Wilson",2019-09-24,17:44:00,"PM","Main Quad","Morrill Hall_242","Yes","West","Unidentifiable","Dead","Did not pickup (explain in notes)",NA,"Bird was very old, took picture to document presence; found on west side of breezeway between Morrill and Burrill",NA,NA,NA
"136","Sarai Stuart and Alec Luro",2019-09-24,17:17:00,"PM","North Quad","National Center for Supercomputing Applications_564","Yes","North","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNxAigTpQrs5SC5rAhp-JY9ADX3yzdUNxMXn8U1?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Skeleton; took picture to document presence",NA,NA,NA
"137","Sarai Stuart and Alec Luro",2019-09-24,17:31:00,"PM","North Quad","Beckman Institute_228","Yes","North","Rose-breasted Grosbeak_Pheucticus ludovicianus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOgr3v5wk-0-zbD_uixhpWyH9QddeCMTQ3M1pAn?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"138","Sarai Stuart and Alec Luro",2019-09-24,17:17:00,"PM","North Quad","National Center for Supercomputing Applications_564","Yes","North","Orange-crowned Warbler_Oreothlypis celata","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNF_lhLSsIvqin49FE_ceE_8RQinmMYbjCCh_5b?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Could also be a Tennesee Warbler",NA,NA,NA
"139","Gabby Jukkala",2019-09-24,07:41:00,"AM","South Quad","Business Instructional Facility_1206","Yes","South","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMBzAGuMqx0Vo3TOlcPRKpQeCxT5-CzIVMFOOYV?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOCBxPdAruQFNtKJQ7BUsSSJKidbe58XfF8wIVw?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"140","Donglai Li & Tianlin Pan",2019-09-24,17:20:00,NA,"South Quad","Education Building_160","Yes","West","Magnolia Warbler_Setophaga magnolia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPYwIMOjnulu75bPwzYTbYBDolLWKbFydfiJwYV?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"141","Evalynn Trumbo",2019-09-25,07:24:00,"AM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","East","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/4g4vv295oJyzDWmc9",NA,NA,NA,NA
"142","Ceci & Henry",2019-09-25,07:15:00,"AM","North Quad","Siebel Center for Computer Science_563","Yes","East","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOVonMo_UYY5YzZq6KOzID9rHbY5Q66lrJKzC5p?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"143","Ceci & Henry",2019-09-25,07:32:00,"AM","North Quad","North Campus Parking Deck_1094","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Ceci & Henry",2019-09-25,07:40:00,"AM","North Quad","Beckman Institute_228","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Ceci & Henry",2019-09-25,07:45:00,"AM","North Quad","Coordinated Science Laboratory_148","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Ceci & Henry",2019-09-25,08:00:00,"AM","North Quad","Electrical and Computer Engineering_409","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Ceci & Henry",2019-09-25,08:10:00,"AM","North Quad","Micro and Nanotechnology Laboratory_237","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Ceci & Henry",2019-09-25,08:15:00,"AM","North Quad","Grainger Engineering Library Information Center_324","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Ceci & Henry",2019-09-25,08:30:00,"AM","North Quad","Everitt Electrical & Computer Engineering Laboratory_37","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Sarai Stuart",2019-09-25,10:00:00,"AM","Other (explain in notes)","Chemical & Life Sciences Laboratory_70","Yes","West","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNxdBsfhFbcfP-vyhRtIkuypn_dP0n0FuiouVV6?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found opportunistically. Likely struck catwalk btw chem life sciences north and south buildings",NA,NA,NA
"151","Sarai Stuart",2019-09-25,08:49:00,"AM","South Quad","Agricultural Engineering Sciences Building_8","Yes","West","Nashville Warbler_Oreothlypis ruficapilla","Alive","Bird flew away","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNDacM9hpZ-BEDOpzAZH7h_exh4cfYF06VZHSzF?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"152","Donglai Li & Tianlin Pan",2019-09-25,17:10:00,"PM","South Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Evalynn Trumbo and Lynette S.",2019-09-26,07:43:00,"AM","Main Quad","Library_41","Yes","South","Blackburnian Warbler_Setophaga fusca","Dead","Did not pickup (explain in notes)","https://photos.app.goo.gl/jSVkKqHdoW39Zhc79","The bird had fallen into an inaccessible grate on the south side of the building.",NA,NA,NA
"154","Alex Di Giovanni and Veronica Severini",2019-09-26,17:28:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","East","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Will add later",NA,NA,NA,NA
"155","Alex Di Giovanni and Veronica Severini",2019-09-26,17:35:00,"PM","Main Quad","Roger Adams Laboratory_116","Yes","North","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Will add later",NA,NA,NA,NA
"156","Alex Di Giovanni and Veronica Severini",2019-09-26,17:43:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","West","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Will add later","Very decayed. Took for #'s purposes",NA,NA,NA
"157","Alex Di Giovanni and Veronica Severini",2019-09-26,17:52:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","West","Unidentifiable","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Will add later","Prob. AMRO, no pic with data card",NA,NA,NA
"158","Alex Di Giovanni and Veronica Severini",2019-09-26,17:57:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","North","American Redstart_Setophaga ruticilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Will add later","Found on grates. Another bird could be seen that had fallen through the grates",NA,NA,NA
"159","Alex Di Giovanni and Veronica Severini",2019-09-26,17:58:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","North","Rose-breasted Grosbeak_Pheucticus ludovicianus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Will add later","Species based off coloring below wing. It was pretty decayed though, so could be wrong",NA,NA,NA
"160","Alex Di Giovanni and Veronica Severini",2019-09-26,18:01:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","East","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Will add later",NA,NA,NA,NA
"161","Alex Di Giovanni and Veronica Severini",2019-09-26,18:18:00,"PM","Main Quad","Chemistry Annex_10","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Will add later",NA,NA,NA,NA
"162","Alex Di Giovanni and Veronica Severini",2019-09-26,NA,"PM","Main Quad","Illini Union Bookstore_106","Yes",NA,"Unidentifiable","Dead",NA,NA,"Someone who worked in the building that was having an event outside the builing told us that there were some dead birds on the overhang above the door. Might be worth checking out for #'s purposes",NA,NA,NA
"163","Alec Luro",2019-09-26,18:18:00,"PM","North Quad","Coordinated Science Laboratory_148","Yes","North","Unidentifiable","Dead","Other (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP_5__VkDdeG2jVaakIxRptYULYnqnvmCNyaBNy?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was scavenged",NA,NA,NA
"164","Alec Luro",2019-09-26,18:00:00,"PM","North Quad","Coordinated Science Laboratory_148","Yes","West","Unidentifiable","Dead","Other (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipODkB9QRf62ZQA1lADRiQzsRZqA_rBeLqu8AFxo?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was decomposed",NA,NA,NA
"165","Alec Luro",2019-09-26,18:28:00,"PM","North Quad","Beckman Institute_228","Yes","South","House Wren_Troglodytes aedon","Alive","Other (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPxzR8a5nPBpCFkUJlv_lfkAHTa19T6BTlgC8e9?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird found south entrance tower, east facing window wall. Bird was stunned, I placed it in the planter by the left side of the entrance to recover",NA,NA,NA
"166","Alec Luro",2019-09-26,18:18:00,"PM","North Quad","Electrical and Computer Engineering_409","Yes","North","Unidentifiable","Dead","Other (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNf3xX5M426WIlILeAXn4KlDPN5mM8HTydh1Ojh?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was scavenged",NA,NA,NA
"167","Gabby Jukkala",2019-09-26,07:41:00,"AM","South Quad","Business Instructional Facility_1206","Yes","South","Common Yellowthroat_Geothlypis trichas","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMWkdBfxMjdF57261XVHCRv8uemWbgEc6svIDAC?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOC2GHfkKJBHCIpBLG2kL2DWVFhp23rsrUCqVEi?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"168","Gabby Jukkala",2019-09-26,07:54:00,"AM","South Quad","Krannert Art Museum_220","Yes","South","House Wren_Troglodytes aedon","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNNmznldHTKiUwH9a0cJV9KlCT77UZNw-15BpnK?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found along south breezeway",NA,"https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipORgPC4QTATXba-yYc3Zk2bTc2iX_BAzVdGTbSS?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPfpNaBGYHDWeI6HzetA7mCaWU8uTY_0oaiTXP_?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR"
"169","Donglai Li & Tianlin Pan",2019-09-26,NA,"PM","South Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Alec Luro",2019-09-27,09:13:00,"AM","Main Quad","Krannert Center for Performing Arts_52","Yes","East","Unidentifiable","Dead","Other (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNgrGLuA8FrktGWtt4wGI01Y0GhOK4demJZuEWl?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird likely hit window and was chewed on by scavenger. Left the carcass on the ledge",NA,NA,NA
"171","Evalynn Trumbo",2019-09-27,17:00:00,"PM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Yu-Fu Wu",2019-09-27,09:00:00,"AM","North Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Yu-Fu Wu",2019-09-27,09:00:00,"AM","North Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Lynette Strickland",2019-09-27,17:00:00,"PM","North Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Alec Luro",2019-09-27,08:46:00,"AM","South Quad","Temple Hoyne Buell Hall_339","Yes","East","Acadian Flycatcher_Empidonax virescens","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP0nrX09j451p5jvahPFnbhnj__OE6FWjsMJDzD?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"176","Donglai Li & Tianlin Pan",2019-09-27,17:00:00,"PM","South Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Gabby Jukkala",2019-09-28,17:12:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","East","Orange-crowned Warbler_Oreothlypis celata","Alive","Other (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPTCgqUWi8dJT19cZxAS_H42fXFycZGcpLAMI0m?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was stunned but could fly, so I picked it up and put it in bushes to recover. Found at east side of breezeway.",NA,NA,NA
"178","Gabby Jukkala",2019-09-28,17:23:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","East","Nashville Warbler_Oreothlypis ruficapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP8TqnKJhH9NSKQSttCVH8JuidId5h_n0bhJ1R-?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPHCg7VFo19PAD2NRWhcws_ZRX65eML98X8e7Hg?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found a little off the survey route at the staircase by the breezeway between CSLS and Morrill",NA,NA
"179","Lynette Strickland",2019-09-28,08:00:00,"AM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Sarai Stuart",2019-09-28,10:13:00,"AM","North Quad","National Center for Supercomputing Applications_564","Yes","North","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPFtXoFpHEOYmJTe99JXeyzy-ckgNxmKhLc2xV6?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird likely scanvenged; decomposed",NA,NA,NA
"181","Alec Luro",2019-09-28,10:24:00,"AM","North Quad","North Campus Parking Deck_1094","Yes","East","Yellow-bellied Sapsucker_Sphyrapicus varius","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPPZvp9o_7PTfeqZehT66klATaa-2yQJKNcdxjh?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird hit southeast stairwell tower, bearing south. Found on top of awning beneath tower",NA,NA,NA
